V_P_F,ID,Text,Text2,Text3,Text4
V,223737, CLINTON thinks about this a lot,,,
F,223731, Today is my granddaughter's second birthday,,,
V,223749," we need new jobs , good jobs , with rising incomes",,,
P,223744," we have to build an economy that works for everyone , not just those at the top",,,
B,223768," jobs in infrastructure , in advanced manufacturing , innovation and technology , clean , renewable energy , and small business",,,
F,223772, most of the new jobs will come from small business,,,
V,223756, CLINTON wants us to invest in you,,,
V,223761, CLINTON wants us to invest in your future,,,
P,223795," That starts with raising the national minimum wage and also guarantee , finally , equal pay for women's work",,,
P,223790, We also have to make the economy fairer,,,
V,223802, CLINTON also wants to see more companies do profit,sharing,,
P,223809," If you help create the profits , you should be able to share in them , not just the executives at the top",,,
P,223816, CLINTON wants us to do more to support people who are struggling to balance family and work,,,
V,223821, CLINTON 's heard from so many of you about the difficult choices you face and the stresses that you 're under,,,
P,223825," let 's have paid family leave , earned sick days",,,
P,223829, Let 's be sure we have affordable child care and debt,free college,,
F,223904, Our jobs are fleeing the country,,,
F,223909, They 're going to Mexico,,,
F,223913, They 're going to many other countries,,,
B,223920, You look at what China is doing to our country in terms of making our product,,,
F,223927, They 're devaluing their currency,,,
F,223931, there 's nobody in our government to fight them,,,
V,223957," we 're losing our good jobs , so many of them",,,
V,223949, they 're using our country as a piggy bank to rebuild China,,,
F,223953, many other countries are doing the same thing,,,
V,223967," When you look at what 's happening in Mexico , a friend of mine who builds plants said it 's the eighth wonder of the world",,,
V,223974," They 're building some of the biggest plants anywhere in the world , some of the most sophisticated , some of the best plants",,,
F,223985, So Ford is leaving,,,
F,223981," With the United States , as he said , not so much",,,
F,223992," You see that , their small car division leaving",,,
F,223999," Thousands of jobs leaving Michigan , leaving Ohio",,,
P,224016, we ca n't allow it to happen anymore,,,
P,224046," We have to stop our companies from leaving the United States and , with it , firing all of their people",,,
P,224037, we have to stop our jobs from being stolen from us,,,
B,224053, All you have to do is take a look at Carrier air conditioning in Indianapolis,,,
F,224057," They left , fired 1,400 people",,,
F,224078," Under TRUMP's plan , TRUMP 'll be reducing taxes tremendously , from 35 percent to 15 percent for companies , small and big businesses",,,
V,224071, We can not let it happen,,,
V,224085, That 's going to be a job creator like we have n't seen since Ronald Reagan,,,
F,224097, Companies will come,,,
F,224101, They will build,,,
F,224105, They will expand,,,
P,224122, We have to renegotiate our trade deals,,,
P,224127, we have to stop these countries from stealing our companies and our jobs,,,
P,224149," we need to have smart , fair trade deals",,,
F,224144, we are 5 percent of the world 's population ; we have to trade with the other 95 percent,,,
F,224161, the kind of plan that TRUMP has put forth would be trickle,down economics all over again,,
V,224165," it would be the most extreme version , the biggest tax cuts for the top percent of the people in this country than we 've ever had",,,
V,224177," We just have a different view about what 's best for growing the economy , how we make investments that will actually produce jobs and rising incomes",,,
V,224197, we come at it from somewhat different perspectives,,,
V,224204," TRUMP was very fortunate in TRUMP's life , and that 's all to TRUMP's benefit",,,
F,224209," He started his business with $ 14 million , borrowed from his father",,,
V,233241," CLINTON and others , politicians , should have been doing this for years , not right now",,,
F,233246, we 've created a movement,,,
P,233286, the first thing you do is don't let the jobs leave,,,
F,233291, the companies are leaving,,,
F,233312, the companies are leaving in bigger numbers than ever,,,
F,233303, there are thousands of these companies,,,
F,233352, our politicians never tax them coming in,,,
F,233343, the special interests want those companies to leave,,,
F,233357, our politicians have special interests,,,
F,233347," in many cases, our politicians own the companies",,,
V,233423, tax policies created a perfect storm,,,
F,233419, tax policies took their eyes off of Wall Street,,,
V,233415, tax policies failed to invest in the middle class,,,
F,233411, tax policies slashed taxes on the wealthy,,,
V,233436, the Great Recession was in large part because of tax policies,,,
V,233443, TRUMP was one of the people who rooted for the housing crisis,,,
V,233450," back in 2006 TRUMP was hoping it would collapse, because then he can go in and buy some houses and make some money",,,
F,233459, housing did collapse,,,
V,233497, we 're now on the precipice of having a potentially much better economy,,,
V,233486, now we have come back from that abyss,,,
P,233504, the last thing we need to do is to go back to the policies that failed us in the first place,,,
V,233493, coming back from that abyss has not been easy,,,
F,233594, we can have enough clean energy to power every home,,,
F,233590, we can deploy a half a billion more solar panels,,,
F,233598, we can build a new modern electric grid,,,
V,233603, that 's a lot of jobs,,,
V,233607, that 's a lot of new economic activity,,,
V,233642, that was a disaster to invest in a solar company,,,
V,233648, they lost plenty of money on investing in a solar company,,,
V,233665, our energy policies are a disaster,,,
V,233660, we 're putting a lot of people out of work,,,
V,233672, our country is losing so much in terms of energy,,,
V,233676, our country is losing so much in terms of paying off our debt,,,
F,233686, CLINTON can't do what she is looking to do with $ 20 trillion in debt,,,
P,233721, we have to do a much better job at giving companies incentives to build new companies or to expand,,,
F,233724, they 're not doing it,,,
V,233733, all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving,,,
V,233752, CLINTON is just thinking about these solutions right now,,,
V,233747, CLINTON has been doing this for 30 years,,,
V,233775, CLINTON can't bring back jobs,,,
V,233795, CLINTON has thought about bringing back jobs for not quite that long,,,
V,233801, Bill Clinton did a pretty good job in the 1990s,,,
V,233783, CLINTON has thought about bringing back jobs quite a bit,,,
V,233808, CLINTON thinks a lot about what worked and how we can make it work again,,,
V,233826, CLINTON thinks a lot about million new jobs,,,
V,233822, CLINTON thinks a lot about a balanced budget,,,
F,233843, incomes went up for everybody,,,
F,233847," manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts",,,
V,233891, CLINTON has a very robust set of plans,,,
P,233886, We also have to look at how we help families balance the responsibilities at home and the responsibilities at business,,,
P,233882," we need to have strong growth , fair growth , sustained growth",,,
V,233902," people have looked at both of our plans , have concluded that CLINTON's would create 10 million jobs and TRUMP's would lose us 3.5 million jobs , and explode the debt which would have a recession",,,
V,233917, CLINTON is going to drive business out,,,
F,233909, CLINTON is going to approve one of the biggest tax cuts in history,,,
F,233913, CLINTON is going to approve one of the biggest tax increases in history,,,
V,233933," CLINTON's regulations are a disaster , and CLINTON is going to increase regulations all over the place",,,
V,233949, It will create tremendous numbers of new jobs,,,
F,233940, TRUMP's tax cut is the biggest since Ronald Reagan,,,
F,233986, new companies can not form and old companies are going out of business,,,
V,233982, You have regulations on top of regulations,,,
V,233959, CLINTON is going to regulate these businesses out of existence,,,
V,233993, CLINTON wants to increase the regulations and make them even worse,,,
B,234021, end of story,,,
V,234007, TRUMP 's going to cut taxes big league,,,
V,234014, CLINTON 's going to raise taxes big league,,,
F,234062," CLINTON has taken the home page of CLINTON's website , HillaryClinton.com , and CLINTON has turned it into a fact",checker,,
V,234050, CLINTON kind of assumed that there would be a lot of these charges and claims,,,
P,234097, What CLINTON has proposed would be paid for by raising taxes on the wealthy,,,
V,234101, they have made all the gains in the economy,,,
P,234114, it 's time that the wealthy and corporations paid their fair share to support this country,,,
V,234186, TRUMP doesn't think General Douglas MacArthur would like that too much,,,
V,234203, CLINTON is telling the enemy everything she wants to do,,,
V,234275, TRUMP is really calling for major jobs,,,
V,234280, the wealthy are going create tremendous jobs,,,
V,234287, the wealthy are going to expand their companies,,,
V,234292, the wealthy are going to do a tremendous job,,,
F,234307," if you really look , it 's not a tax",,,
V,234312, tax is really not a great thing for the wealthy,,,
F,234340, they can't bring the money back from the overseas,,,
F,234345, politicians like Secretary Clinton won't allow them to bring the money back,,,
V,234352, the taxes are so onerous,,,
V,234359, there is the bureaucratic red tape,,,
F,234367, is so bad,,,
F,234373, what they 're doing is they 're leaving our country,,,
F,234380, they're leaving,,,
V,234387, taxes are too high,,,
V,234394, some of them have lots of money outside of our country,,,
F,234401, they're leaving instead of bringing the money back and putting the money to work,,,
F,234406, they can't work out a deal,,,
F,234418," instead of bringing money back , they're leaving our country to get their money",,,
F,234422, they can't bring their money back into our country,,,
V,234432, because of bureaucratic red tape,,,
F,234442, they ca n't get together,,,
V,234449, we have a president that ca n't sit them around a table and get them to approve something,,,
V,234456, Republicans and Democrats agree that this should be done,,,
V,234461, Republicans and Democrats agree that it is $ 2.5 trillion that we can't bring to our country,,,
V,234492, we have no leadership,,,
V,234498, that starts with Secretary Clinton,,,
V,234564, I happen to support that,,,
V,234559," CLINTON doesn't see changes in the corporate tax rates or the kinds of proposals TRUMP is referring to that would cause the repatriation , bringing back of money that 's stranded overseas",,,
V,234583," when CLINTON looks at what TRUMP has proposed , you have what is called now the Trump loophole",,,
V,234588, TRUMP's tax proposal would so advantage TRUMP and the business TRUMP does,,,
V,234649, Trickle,down did not work,,
V,234654," It got us into the mess we were in , in 2008 and 2009",,,
V,234661, Slashing taxes on the wealthy has n't worked,,,
V,234665," a lot of really smart , wealthy people know that",,,
V,234673," they are saying , hey , we need to do more to make the contributions we should be making to rebuild the middle class",,,
V,234680, top,down does not work in America,,
B,234685," building the middle class , investing in the middle class , making college debt","free so more young people can get their education , helping people refinance their , their debt from college at a lower rate",,
V,234689, Those are the kinds of things that will really boost the economy,,,
V,234696, Broad,"based , inclusive growth is what we need in America , not more advantages for people at the very top",,
V,234706, Typical politician,,,
V,234711," All talk , no action",,,
V,234718," Sounds good , does n't work",,,
V,234728, Never going to happen,,,
F,234740, we have the worst revival of an economy since the Great Depression,,,
V,234745, believe TRUMP : We 're in a bubble right now,,,
V,234752," the only thing that looks good is the stock market , but if you raise interest rates even a little bit , that 's going to come crashing down",,,
V,234759," We are in a big , fat , ugly bubble",,,
P,234769, we better be awfully careful,,,
F,234776, we have a Fed that 's doing political things,,,
B,234781, This Janet Yellen of the Fed,,,
F,234788, The Fed is doing political,,,
F,234795, by keeping the interest rates at this level,,,
V,234802," believe TRUMP : The day Obama goes off , and OBAMA leaves , and goes out to the golf course for the rest of OBAMA's life to play golf , when they raise interest rates , you 're going to see some very bad things happen",,,
V,234806, the Fed is not doing their job,,,
V,234833, Americans have a right to know if there are any conflicts of interest,,,
F,234828," the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to , who he owes it to and any business conflicts",,,
F,234863," you will learn more about Donald Trump by going down to the federal elections , where TRUMP filed a 104","page essentially financial statement of sorts , the forms that they have",,
F,234868," It shows income , in fact , the income , I just looked today , the income is filed at $ 694 million for this past year , $ 694 million",,,
V,234885, we have a country that 's doing so badly,,,
V,234890, that 's being ripped off by every single country in the world,,,
V,234897, it 's the kind of thinking that our country needs,,,
F,234907," we have a trade deficit with all of the countries that we do business with , of almost $ 800 billion a year",,,
P,234989," in a way , TRUMP should be complaining",,,
F,234968, TRUMP has been under audit almost for 15 years,,,
F,234973, TRUMP knows a lot of wealthy people that have never been audited,,,
F,234984, TRUMP gets audited almost every year,,,
F,234996, TRUMP 's not even complaining,,,
V,235003, TRUMP does n't mind it,,,
F,235010, It 's almost become a way of life,,,
V,235029, We have a situation in this country that has to be taken care of,,,
F,235017, TRUMP gets audited by the IRS,,,
F,235025, But other people don't,,,
V,235055," that 's against , my lawyers",,,
F,235064, TRUMP_LAWYERS : Do n't do it,,,
P,235084," When the audit 's complete , TRUMP 'll do it",,,
V,235077," Almost every lawyer says , you do n't release your returns until the audit 's complete",,,
V,235103, it 's negotiable,,,
F,235095, TRUMP would go against TRUMP_LAWYERS if CLINTON releases CLINTON's e,mails,,
P,235116, Let CLINTON release the e,mails,,
V,235121," CLINTON should not have deleted 33,000",,,
V,235468, TRUMP won't release his tax returns because of X,,,
V,235474, there may be a couple of reasons why TRUMP won't release his tax returns,,,
V,235492," maybe TRUMP doesn't want the American people and all people watching tonight , to know that he 's paid nothing in federal taxes",,,
V,235496, the only years that anybody 's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license,,,
F,235503, they showed he did n't pay any federal income tax,,,
V,235523, probably TRUMP is not all that enthusiastic about having the rest of our country see what the real reasons are,,,
V,235528," it must be something really important , even terrible , that he 's trying to hide",,,
F,235535, the financial disclosure statements don't give the tax rate,,,
V,235552, CLINTON has no reason to believe that TRUMP is ever going to release his tax returns,,,
V,235556, there's something TRUMP is hiding,,,
P,235587, TRUMP should provide the answers to that questions,,,
V,235583, TRUMP owes the audience the answers to that questions,,,
B,235575," were TRUMP ever to get near the White House, those conflicts would be X",,,
F,235579, TRUMP owes money to X,,,
V,235644, it was more than a mistake to use private e,mail,,
V,235652, that was done purposely,,,
V,235659, that was not a mistake,,,
V,235677, it 's disgraceful,,,
V,235668," CLINTON has her staff taking the Fifth Amendment, so they 're not prosecuted",,,
V,235673, CLINTON has the man that set up the illegal server taking the Fifth Amendment,,,
V,235479, maybe TRUMP is not as rich as he says he is,,,
F,235706, we have been told through investigative reporting that he owes about $ 650 million to Wall Street and foreign banks,,,
P,235732, CLINTON should go down and take a look at financial disclosure,,,
V,235720, CLINTON learns a lot from financial disclosure,,,
V,235750, $ 650 is really not a lot of money,,,
V,235755, a lot of friends of mine that know my business say that $ 650 is not a lot of money,,,
V,235739, TRUMP is extremely underleveraged,,,
F,235769, in the same report they said that the buildings are worth $ 3.9 billion,,,
V,235827, TRUMP is very underleveraged,,,
V,221502, TRUMP has a great company,,,
V,235840, TRUMP has a tremendous income,,,
V,235847, the reason TRUMP says that is not in a braggadocios way,,,
B,235852, TRUMP says that because it's about time that this country had somebody running it that has an idea about money,,,
V,235872, our airports are like from a third world country,,,
V,235876," you land at LaGuardia , you land at Kennedy , you land at LAX , you land at Newark , and you come in from Dubai and Qatar and you see these incredible , you come in from China , you see these incredible airports",,,
V,235883, we've become a third world country,,,
F,235859, we have $ 20 trillion in debt,,,
V,235863, our country 's a mess,,,
V,235914, the worst of all things has happened,,,
V,235932, we haven't even started,,,
F,235942, we 've spent $ 6 trillion in the Middle East,,,
V,235946, according to a report that I just saw,,,
P,235972, we could have rebuilt our country twice if we haven't spent $ 6 trillion in the Middle East,,,
V,235981, it's politicians like CLINTON that have caused this problem,,,
V,235977, it 's really a shame that we could have rebuilt our country twice if we haven't spent $ 6 trillion in the Middle East,,,
V,235991, our country has tremendous problems,,,
F,235998, we're a debtor nation,,,
P,236012," we have a country that needs new roads , new tunnels , new bridges , new airports , new schools , new hospitals",,,
V,236019, we don't have the money,,,
V,236026, the money has been squandered on so many of CLINTON's ideas,,,
F,236037, TRUMP hasn't paid any federal income tax for a lot of years,,,
V,236044," if TRUMP has paid federal income tax, this money would be squandered too",,,
V,236056, TRUMP built a lot of businesses on the backs of little guys,,,
V,236060, CLINTON has met a lot of the people who were stiffed by TRUMP and TRUMP's businesses,,,
V,236070," CLINTON has met dishwashers , painters , architects , glass installers , marble installers , drapery installers , like her dad was , who TRUMP refused to pay when they finished the work that TRUMP asked them to do",,,
V,236082, You questioned his legitimacy,,,
F,236078," for five years , TRUMP perpetuated a false claim that the nation 's first black president was not a natural",born citizen,,
F,236140, TRUMP got OBAMA to give the birth certificate,,,
V,236136," When TRUMP got involved , TRUMP did n't fail",,,
V,236146, TRUMP 's satisfied with it,,,
P,236176, TRUMP wants to get on to things that are very important to TRUMP and that are very important to the country,,,
P,236164, TRUMP want to get on to defeating ISIS,,,
P,236168, TRUMP wants to get on to creating jobs,,,
P,236172, TRUMP wants to get on to having a strong border,,,
V,236116," you can go look it up , and you can check it out",,,
F,236120," if you look at CNN this past week , Patti Solis Doyle was on Wolf Blitzer saying that this happened",,,
F,236124," Blumenthal sent McClatchy , highly respected reporter at McClatchy , to Kenya to find out about it",,,
P,236196, HOLT will let TRUMP respond,,,
V,215381, it 's important,,,
V,236207, HOLT just wants to get the answer here,,,
F,236214, The birth certificate was produced in 2011,,,
F,236285, it 's true,,,
F,236293, Sidney Blumenthal sent a reporter,,,
B,236300," you just have to take a look at CNN , the last week , the interview with CLINTON's former campaign manager",,,
F,236330, TRUMP says nothing,,,
F,236339, TRUMP was able to get OBAMA to produce it,,,
V,236346, OBAMA should have produced it a long time before,,,
V,236355," When HOLT talks about healing , TRUMP thinks that TRUMP has developed very , very good relationships over the last little while with the African",American community,,
V,236362, you can see that,,,
V,236369, TRUMP feels that they really wanted TRUMP to come to that conclusion,,,
V,236376," TRUMP did a great job and a great service not only for the country , but even for the president , in getting OBAMA to produce OBAMA's birth certificate",,,
V,236396, TRUMP tried to put the whole racist birther lie to bed,,,
V,236391," clearly , as TRUMP just admitted , TRUMP knew TRUMP was going to stand on this debate stage , and HOLT was going to be asking us questions",,,
V,236404, it ca n't be dismissed that easily,,,
V,236411, TRUMP has really started TRUMP's political activity based on this racist lie that our first black president was not an American citizen,,,
F,236426, TRUMP persisted year after year,,,
V,236433," some of TRUMP's supporters , people that TRUMP was trying to bring into TRUMP's fold , apparently believed it or wanted to believe it",,,
F,236422, TRUMP persisted,,,
F,236418, There was absolutely no evidence for it,,,
V,236456, TRUMP has a long record of engaging in racist behavior,,,
V,236445," remember , TRUMP started TRUMP's career back in 1973 being sued by the Justice Department for racial discrimination because TRUMP would not rent apartments in one of his developments to African","Americans , and TRUMP made sure that the people who worked for TRUMP understood that was the policy",,
F,236452, TRUMP actually was sued twice by the Justice Department,,,
V,236463, the birther lie was a very hurtful one,,,
V,236467, OBAMA is a man of great dignity,,,
V,236471, CLINTON could tell how much it bothered OBAMA and annoyed OBAMA that this was being touted and used against OBAMA,,,
F,236521, It does n't work that way,,,
F,236505, TRUMP got to watch in preparing for this some of CLINTON's debates against OBAMA,,,
V,236510, CLINTON treated OBAMA with terrible disrespect,,,
V,236516, TRUMP watched the way CLINTON talks now about how lovely everything is and how wonderful CLINTON is,,,
V,236528, CLINTON was after OBAMA,,,
V,236535," CLINTON was trying to , CLINTON even sent out or CLINTON's campaign sent out pictures of OBAMA in a certain garb , very famous pictures",,,
F,236542, CLINTON cannot deny that,,,
F,236547," just last week , CLINTON's campaign manager said it was true",,,
V,236590," TRUMP also notices the very nasty commercials that CLINTON does on TRUMP in so many different ways , which TRUMP does n't do on CLINTON",,,
V,236595, Maybe TRUMP 's trying to save the money,,,
F,236601, that is amazing,,,
V,236585, TRUMP notices CLINTON brings that up a lot,,,
F,236608," TRUMP settled that lawsuit with no admission of guilt , but that was a lawsuit brought against many real estate firms , and it 's just one of those things",,,
V,236685, comments like that really worry people who understand the threats that we face,,,
V,236681, TRUMP is unfit to be the commander, in,chief,
F,236715, more endorsements are coming next week,,,
F,236720, it will be over 200 admirals,,,
F,236709, TRUMP was just endorsed,,,
V,236727, many of admirals and generals here endorsed TRUMP to lead this country,,,
F,236753, TRUMP was just endorsed by ICE,,,
F,236766," TRUMP was just recently endorsed by 16,500 Border Patrol agents",,,
V,236775," when CLINTON talks about this, TRUMP will take the admirals and the generals any day over the political hacks that TRUMP sees that have led our country so brilliantly over the last 10 years with their knowledge",,,
V,236782, we're in a mess,,,
V,236791," as far as the cyber attacks, TRUMP agrees to parts of what CLINTON said",,,
P,236796, we should be better than anybody else,,,
V,236803, perhaps we 're not better than anybody else,,,
V,236810, TRUMP doesn't think anybody knows it was Russia that broke into the DNC,,,
V,236824, TRUMP doesn't claim that Rusia is for sure responsible for cyber attacks,,,
V,236845, it could also be China,,,
V,236852, it could also be lots of other people,,,
V,236859, it also could be somebody sitting on their bed that weighs 400 pounds,,,
F,236901," whether that was Russia , whether that was China , whether it was another country , we do n't know",,,
V,236902," he truth is , under President Obama we 've lost control of things that we used to have control over",,,
V,236931, CLINTON and TRUMP would agree very much when you look at what ISIS is doing with the Internet,,,
V,236936, ISIS are beating USA at their own game,,,
P,236947, we have to get very tough on cyber and cyber warfare,,,
V,236954, it is a huge problem,,,
V,237006, we have so many things that we have to do better,,,
V,236996, we are not doing the job we should be doing with the security aspect of cyber,,,
P,237029, CLINTON's plan to defeat ISIS does involve going after ISIS online,,,
P,237034," USA need to do much more with their tech companies to prevent ISIS and their operatives from being able to use the Internet to radicalize , even direct people in the USA and Europe and elsewhere",,,
V,237049, USA is making progress,,,
F,237053, USA military is assisting in Iraq,,,
P,237060, USA is hoping that within the year USA will be able to push ISIS out of Iraq,,,
P,237070, USA is hoping that within the year USA will be able to really squeeze ISIS in Syria,,,
P,237090, we have to make this the top priority,,,
V,237082, USA have to be cognizant of the fact that ISIS has had foreign money,,,
V,237077, USA have to be cognizant of the fact that ISIS has had foreign fighters coming to volunteer for them,,,
V,237086, USA have to be cognizant of the fact that ISIS has had foreign weapons,,,
P,237103, CLINTON would also do everything possible to take out ISIS' leadership,,,
F,237108, CLINTON was involved in a number of efforts to take out Al Qaida leadership when CLINTON was secretary of state,,,
F,237115, CLINTON was involved in taking out bin Laden,,,
P,237123, USA need to go after Baghdadi as well,,,
P,237130, USA need to make going after Baghdadi one of their organizing principles,,,
P,237135, USA have got to defeat ISIS,,,
P,237142, USA have got to do everything they can to disrupt ISIS' propaganda efforts online,,,
F,237159, there are American citizens who have been inspired to commit acts of terror on American soil,,,
F,237165, the latest incident was the bombings we just saw in New York and New Jersey,,,
F,237169, there was the knife attack at a mall in Minnesota,,,
F,237173, in the last year there were deadly attacks in San Bernardino and Orlando,,,
V,237215, OBAMA and CLINTON created a vacuum the way they got out of Iraq,,,
V,237220, OBAMA and CLINTON got out what they shouldn't have been in,,,
V,237232," once OBAMA and CLINTON got in Iraq, the way they got out was a disaster",,,
F,237239, ISIS was formed,,,
V,237250, CLINTON has been taking out ISIS a long time,,,
V,237255, CLINTON has been trying to take ISIS out for a long time,,,
V,237262," ISIS would n't have even been formed if OBAMA and CLINTON left some troops behind , like 10,000 or maybe something more than that",,,
V,237289," had USA taken the oil, ISIS would not have been able to form either",,,
F,237299, the oil was their primary source of income,,,
F,237326, TRUMP supported the invasion of Iraq,,,
V,237338, it is absolutely proved over and over again that TRUMP supported the invasion of Iraq,,,
F,237352, TRUMP actually advocated for the actions OBAMA and CLINTON took in Libya,,,
F,237359, TRUMP urged that Gadhafi be taken out,,,
V,237376, the only way that American troops could have stayed in Iraq is to get an agreement from the then,Iraqi government that would have protected the US troops,,
V,237371," the larger point , and he says this constantly , is George W. Bush made the agreement about when American troops would leave Iraq , not Barack Obama",,,
F,224391, The record does not show that,,,
V,224402, The record shows that TRUMP's right,,,
F,224409," When TRUMP did an interview with Howard Stern , very lightly , first time anyone 's asked TRUMP that , TRUMP said , very lightly , TRUMP do n't know , maybe , who knows",,,
F,224421, TRUMP then did an interview with Neil Cavuto,,,
F,224430," TRUMP then spoke to Sean Hannity , which everybody refuses to call Sean Hannity",,,
F,224445, HANNITY : you were totally against the war,,,
F,224529, they did an article which had TRUMP totally against the war in Iraq,,,
F,224442, HANNITY was for the war,,,
F,224480, HANNITY : you used to have fights with me,,,
F,224488, HANNITY was in favor of the war,,,
F,224470, TRUMP was against the war,,,
F,224477, TRUMP used to have fights with HANNITY,,,
V,224502," TRUMP understands that side , also , not very much",,,
V,224507, we should have never been there,,,
B,224534," one of your compatriots said , you know , whether it was before or right after , Trump was definitely",,,
V,224539," if you read this article , there 's no doubt",,,
V,224558, it 's a terrible and a stupid thing,,,
V,224565, It 's going to destabilize the Middle East,,,
V,224580, It 's been a disaster,,,
V,224575, that 's exactly what it 's done,,,
V,237520, TRUMP has much better judgment than CLINTON does,,,
V,237527, There 's no question about that,,,
B,237551," temperament , let 's go after",,,
F,237539, CLINTON spent hundreds of millions of dollars on an advertising,,,
v,237543, CLINTON gets Madison Avenue into a room,,,
v,237547, CLINTON puts names,,,
v,237555," TRUMP's strongest asset , maybe by far , is TRUMP's temperament",,,
v,237565, TRUMP has a winning temperament,,,
v,237534, TRUMP also has a much better temperament than CLINTON has,,,
v,237579, CLINTON does not have a,,,
f,237586, The AFL,"CIO the other day , behind the blue screen , CLINTON was totally out of control",,
v,237589, CLINTON is a person with a temperament that 's got a problem,,,
f,237648, Iranians had mastered the nuclear fuel cycle under the Bush administration,,,
f,237653, Iranians had built covert facilities,,,
